vehicle_id,vehicle_model,vehicle_variant,station_id,station_name,timestamp,cycle_time_sec,torque_nm,temperature_c,vibration_rms,pressure_bar,force_n,position_error_mm,voltage_v,current_a,flow_rate_lpm,queue_time_sec,ambient_temperature_c,humidity_pct,shift,production_batch,rework_flag,anomaly_flag,root_cause_station
VEH-00001,Hyundai Venue,SX,S1,Body Preparation,2026-08-01T06:02:02,118.8578,,22.48,1.9768,,494.8,5.2117,,,,11.88,16.82,72.27,Shift_3,BATCH-2026-W31-A,1,1,S1
VEH-00001,Hyundai Venue,SX,S2,Underbody Assembly,2026-08-01T06:03:52,87.93120000000002,142.72,,1.3747,,434.51,1.2806,,,,17.620399999999997,16.98,70.85,Shift_1,BATCH-2026-W31-A,1,1,S1
VEH-00001,Hyundai Venue,SX,S3,Suspension and Brake Assembly,2026-08-01T06:05:31,78.116,140.81,,1.0952,7.604800000000001,455.87,0.9084,,,,18.476,18.29,66.71000000000001,Shift_1,BATCH-2026-W31-A,0,1,S1
VEH-00001,Hyundai Venue,SX,S4,Powertrain Installation,2026-08-01T06:06:55,69.13,139.33,25.66,0.6723,,461.46,0.2392,,14.87,,17.1864,18.95,70.31,Shift_1,BATCH-2026-W31-A,0,0,S1
VEH-00001,Hyundai Venue,SX,S5,Electrical Installation,2026-08-01T06:08:39,90.87,,26.75,,,,0.4718,12.62,14.97,,16.842,18.48,69.02,Shift_1,BATCH-2026-W31-A,0,1,S1
VEH-00001,Hyundai Venue,SX,S6,Interior Assembly,2026-08-01T06:10:12,85.50319999999999,133.14,,,,475.66,0.33,,,,10.7004,18.25,66.53999999999999,Shift_1,BATCH-2026-W31-A,0,0,S1
VEH-00001,Hyundai Venue,SX,S7,Door and Glass Assembly,2026-08-01T06:11:41,86.0946,,,,7.232,451.45,0.1857,,,,16.7388,17.21,68.58999999999999,Shift_1,BATCH-2026-W31-A,0,0,S1
VEH-00001,Hyundai Venue,SX,S8,Wheel and Tyre Assembly,2026-08-01T06:13:17,89.6584,138.93,,0.8787,8.2104,,0.3085,,,,22.7468,18.04,68.76,Shift_1,BATCH-2026-W31-A,0,0,S1
VEH-00001,Hyundai Venue,SX,S9,Fluid Filling,2026-08-01T06:14:47,95.84960000000001,,27.71,,9.112,460.64,,,,8.77,13.8632,19.01,69.58,Shift_1,BATCH-2026-W31-A,0,0,S1
VEH-00001,Hyundai Venue,SX,S10,Final Inspection,2026-08-01T06:16:10,94.224,133.88,27.45,0.9606,,,0.2387,12.41,15.25,,21.096,19.43,70.22,Shift_1,BATCH-2026-W31-A,0,0,S1
VEH-00002,Hyundai Verna,SX_O,S1,Body Preparation,2026-08-01T06:02:14,65.7836,,24.67,0.7997,,487.98,0.2518,,,,13.1652,18.0,68.48,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S2,Underbody Assembly,2026-08-01T06:03:39,66.05760000000001,134.35,,0.8884,,449.63,0.197,,,,13.525599999999999,18.23,68.82,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S3,Suspension and Brake Assembly,2026-08-01T06:05:14,71.95639999999999,132.89,,1.0102,7.224000000000001,421.22,0.1996,,,,13.863199999999999,19.45,66.24000000000001,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S4,Powertrain Installation,2026-08-01T06:06:50,81.53,137.6,23.27,0.9962,,420.22,0.302,,15.42,,9.992400000000002,18.41,70.96000000000001,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S5,Electrical Installation,2026-08-01T06:08:14,72.8,,24.99,,,,0.3034,12.69,16.76,,17.779999999999998,19.23,65.88,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S6,Interior Assembly,2026-08-01T06:09:43,75.72479999999999,141.83,,,,500.85,0.2153,,,,14.6224,18.85,68.92,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S7,Door and Glass Assembly,2026-08-01T06:11:11,77.7876,,,,8.2688,434.09,0.2723,,,,21.2472,18.04,71.46,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S8,Wheel and Tyre Assembly,2026-08-01T06:12:36,87.9564,119.73,,0.8605,8.5668,,0.3042,,,,19.3028,18.0,69.17,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S9,Fluid Filling,2026-08-01T06:14:09,97.1586,,32.78,,8.1464,474.5,,,,9.1,14.981200000000001,18.16,73.19,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S10,Final Inspection,2026-08-01T06:15:35,87.87200000000001,136.15,29.46,0.8882,,,0.2401,12.52,15.63,,28.242,18.55,69.92,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00003,Hyundai Creta,SX_Tech,S1,Body Preparation,2026-08-01T06:03:04,60.653200000000005,,25.46,0.8237,,478.14,0.3133,,,,14.7096,19.23,66.44,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00003,Hyundai Creta,SX_Tech,S2,Underbody Assembly,2026-08-01T06:04:35,71.22080000000001,138.88,,0.8164,,453.27,0.2721,,,,13.328399999999998,18.38,65.25999999999999,Shift_1,BATCH-2026-W31-A,0,0,NONE
