vehicle_id,vehicle_model,vehicle_variant,station_id,station_name,timestamp,cycle_time_sec,torque_nm,temperature_c,vibration_rms,pressure_bar,force_n,position_error_mm,voltage_v,current_a,flow_rate_lpm,queue_time_sec,ambient_temperature_c,humidity_pct,shift,production_batch,rework_flag,anomaly_flag,root_cause_station
VEH-00001,Hyundai Venue,SX,S1,Body Preparation,2026-08-01T06:02:02,112.13,,21.98,1.9768,,494.8,5.2117,,,,11.0,16.82,71.97,Shift_3,BATCH-2026-W31-A,1,1,S1
VEH-00001,Hyundai Venue,SX,S2,Underbody Assembly,2026-08-01T06:03:52,78.51,143.2091855033519,,3.807656840895125,,436.20863293710323,2.2532750785577864,,,,15.19,16.98,70.25,Shift_1,BATCH-2026-W31-A,1,1,S1
VEH-00001,Hyundai Venue,SX,S3,Suspension and Brake Assembly,2026-08-01T06:05:31,66.2,141.60416694053922,,1.7319394122463276,7.3905302172099345,458.2273546893051,1.330409993536513,,,,14.9,18.29,65.81,Shift_1,BATCH-2026-W31-A,0,1,S1
VEH-00001,Hyundai Venue,SX,S4,Powertrain Installation,2026-08-01T06:06:55,55.75,141.18255474793784,25.367064924206478,2.6524978455193584,,461.8697277860942,2.169863251919712,,14.87,,13.02,18.95,69.11,Shift_1,BATCH-2026-W31-A,0,1,S1
VEH-00001,Hyundai Venue,SX,S5,Electrical Installation,2026-08-01T06:08:39,69.9,,24.60522408039926,,,,1.5541330007687864,12.62,14.97,,12.03,18.48,67.52,Shift_1,BATCH-2026-W31-A,0,1,S1
VEH-00001,Hyundai Venue,SX,S6,Interior Assembly,2026-08-01T06:10:12,62.87,134.65540771091813,,,,476.3869634071151,1.8577437647334158,,,,7.23,18.25,64.74,Shift_1,BATCH-2026-W31-A,0,1,S1
VEH-00001,Hyundai Venue,SX,S7,Door and Glass Assembly,2026-08-01T06:11:41,60.63,,,,7.32679696056565,451.93413148169645,2.0331455739064923,,,,10.73,17.21,66.49,Shift_1,BATCH-2026-W31-A,0,1,S1
VEH-00001,Hyundai Venue,SX,S8,Wheel and Tyre Assembly,2026-08-01T06:13:17,60.58,140.40811738652604,,1.7285422043190477,8.252323981275815,,2.3783448669305387,,,,13.87,18.04,66.36,Shift_1,BATCH-2026-W31-A,0,1,S1
VEH-00001,Hyundai Venue,SX,S9,Fluid Filling,2026-08-01T06:14:47,62.24,,24.743277375913824,,8.862773685583928,462.5798080294936,,,,8.77,8.06,19.01,66.88,Shift_1,BATCH-2026-W31-A,0,1,S1
VEH-00001,Hyundai Venue,SX,S10,Final Inspection,2026-08-01T06:16:10,58.89,133.88,22.45,0.9606,,,0.2387,12.41,15.25,,11.72,19.43,67.22,Shift_1,BATCH-2026-W31-A,0,0,S1
VEH-00002,Hyundai Verna,SX_O,S1,Body Preparation,2026-08-01T06:02:14,62.06,,24.17,0.7997,,487.98,0.2518,,,,12.19,18.0,68.18,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S2,Underbody Assembly,2026-08-01T06:03:39,58.98,134.35,,0.8884,,449.63,0.197,,,,11.66,18.23,68.22,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S3,Suspension and Brake Assembly,2026-08-01T06:05:14,60.98,132.89,,1.0102,6.45,421.22,0.1996,,,,11.18,19.45,65.34,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S4,Powertrain Installation,2026-08-01T06:06:50,65.75,137.6,21.27,0.9962,,420.22,0.302,,15.42,,7.57,18.41,69.76,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S5,Electrical Installation,2026-08-01T06:08:14,56.0,,22.49,,,,0.3034,12.69,16.76,,12.7,19.23,64.38,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S6,Interior Assembly,2026-08-01T06:09:43,55.68,141.83,,,,500.85,0.2153,,,,9.88,18.85,67.12,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S7,Door and Glass Assembly,2026-08-01T06:11:11,54.78,,,,6.46,434.09,0.2723,,,,13.62,18.04,69.36,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S8,Wheel and Tyre Assembly,2026-08-01T06:12:36,59.43,119.73,,0.8605,6.49,,0.3042,,,,11.77,18.0,66.77,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S9,Fluid Filling,2026-08-01T06:14:09,63.09,,28.28,,5.99,474.5,,,,9.1,8.71,18.16,70.49,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S10,Final Inspection,2026-08-01T06:15:35,54.92,136.15,24.46,0.8882,,,0.2401,12.52,15.63,,15.69,18.55,66.92,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00003,Hyundai Creta,SX_Tech,S1,Body Preparation,2026-08-01T06:03:04,57.22,,24.96,0.8237,,478.14,0.3133,,,,13.62,19.23,66.14,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00003,Hyundai Creta,SX_Tech,S2,Underbody Assembly,2026-08-01T06:04:35,63.59,138.88,,0.8164,,453.27,0.2721,,,,11.49,18.38,64.66,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00003,Hyundai Creta,SX_Tech,S3,Suspension and Brake Assembly,2026-08-01T06:06:06,62.84,144.33,,0.7203,6.63,450.57,0.2856,,,,9.47,18.96,67.82,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00003,Hyundai Creta,SX_Tech,S4,Powertrain Installation,2026-08-01T06:07:34,54.36,137.7,26.06,0.7297,,452.77,0.1418,,15.69,,12.49,18.9,68.73,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00003,Hyundai Creta,SX_Tech,S5,Electrical Installation,2026-08-01T06:09:01,58.1,,26.64,,,,0.1702,12.71,13.23,,9.81,17.91,65.6,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00003,Hyundai Creta,SX_Tech,S6,Interior Assembly,2026-08-01T06:10:44,63.07,134.85,,,,444.73,0.1963,,,,15.97,18.64,66.88,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00003,Hyundai Creta,SX_Tech,S7,Door and Glass Assembly,2026-08-01T06:12:08,57.89,,,,5.8,438.5,0.2822,,,,6.12,18.81,69.08,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00003,Hyundai Creta,SX_Tech,S8,Wheel and Tyre Assembly,2026-08-01T06:13:29,55.62,134.07,,0.8489,6.48,,0.2903,,,,9.67,17.98,67.51,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00003,Hyundai Creta,SX_Tech,S9,Fluid Filling,2026-08-01T06:14:57,59.08,,24.38,,6.3,474.28,,,,9.09,10.39,18.01,67.96,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00003,Hyundai Creta,SX_Tech,S10,Final Inspection,2026-08-01T06:16:35,60.18,136.65,23.45,0.8816,,,0.2768,12.76,14.83,,13.5,18.87,66.9,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00004,Hyundai Creta,EX,S1,Body Preparation,2026-08-01T06:04:08,60.54,,25.19,0.833,,453.28,0.2454,,,,11.92,18.9,68.84,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00004,Hyundai Creta,EX,S2,Underbody Assembly,2026-08-01T06:05:43,58.94,132.89,,0.7369,,430.86,0.2847,,,,15.92,18.14,67.52,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00004,Hyundai Creta,EX,S3,Suspension and Brake Assembly,2026-08-01T06:07:14,57.27,134.01,,0.8621,6.14,434.5,0.2387,,,,12.05,18.04,68.17,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00004,Hyundai Creta,EX,S4,Powertrain Installation,2026-08-01T06:08:49,64.29,138.13,21.47,0.8559,,441.3,0.264,,12.62,,8.83,18.67,69.7,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00004,Hyundai Creta,EX,S5,Electrical Installation,2026-08-01T06:10:10,59.24,,26.18,,,,0.2597,12.39,14.86,,8.91,19.58,66.47,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00004,Hyundai Creta,EX,S6,Interior Assembly,2026-08-01T06:11:35,57.55,129.84,,,,430.71,0.2863,,,,10.29,17.83,68.26,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00004,Hyundai Creta,EX,S7,Door and Glass Assembly,2026-08-01T06:13:21,66.21,,,,6.16,472.28,0.2865,,,,17.77,18.3,65.48,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00004,Hyundai Creta,EX,S8,Wheel and Tyre Assembly,2026-08-01T06:14:57,59.62,138.74,,0.8776,6.43,,0.2237,,,,12.56,18.52,66.36,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00004,Hyundai Creta,EX,S9,Fluid Filling,2026-08-01T06:16:33,63.55,,26.23,,6.27,440.72,,,,7.77,15.73,18.32,63.15,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00004,Hyundai Creta,EX,S10,Final Inspection,2026-08-01T06:17:55,58.59,132.41,24.69,0.9107,,,0.2595,12.78,15.99,,9.16,18.4,67.33,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00005,Hyundai i20,Era,S1,Body Preparation,2026-08-01T06:05:07,59.8,,24.69,0.8223,,449.96,0.2126,,,,13.83,18.59,67.89,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00005,Hyundai i20,Era,S2,Underbody Assembly,2026-08-01T06:06:38,54.68,133.07,,0.9476,,442.56,0.2236,,,,12.01,18.3,70.14,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00005,Hyundai i20,Era,S3,Suspension and Brake Assembly,2026-08-01T06:08:01,53.81,136.0,,0.7321,6.06,453.33,0.2723,,,,11.76,18.8,65.75,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00005,Hyundai i20,Era,S4,Powertrain Installation,2026-08-01T06:09:32,65.0,137.15,22.09,0.7809,,403.04,0.276,,15.87,,8.73,18.15,65.82,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00005,Hyundai i20,Era,S5,Electrical Installation,2026-08-01T06:11:10,63.93,,25.44,,,,0.1898,12.47,15.44,,13.01,18.8,69.91,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00005,Hyundai i20,Era,S6,Interior Assembly,2026-08-01T06:12:49,61.14,137.4,,,,446.12,0.2939,,,,14.34,18.51,68.74,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00005,Hyundai i20,Era,S7,Door and Glass Assembly,2026-08-01T06:14:09,57.64,,,,6.55,455.39,0.2677,,,,9.42,18.08,67.85,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00005,Hyundai i20,Era,S8,Wheel and Tyre Assembly,2026-08-01T06:15:40,66.39,136.91,,0.7571,6.44,,0.3556,,,,10.83,18.95,69.13,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00005,Hyundai i20,Era,S9,Fluid Filling,2026-08-01T06:17:06,52.17,,26.32,,6.52,478.59,,,,8.59,11.23,18.03,67.84,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00005,Hyundai i20,Era,S10,Final Inspection,2026-08-01T06:18:32,60.58,137.81,22.81,0.8725,,,0.3232,12.59,15.1,,9.82,18.52,68.27,Shift_1,BATCH-2026-W31-A,0,0,NONE
