vehicle_id,vehicle_model,vehicle_variant,station_id,station_name,timestamp,cycle_time_sec,torque_nm,temperature_c,vibration_rms,pressure_bar,force_n,position_error_mm,voltage_v,current_a,flow_rate_lpm,queue_time_sec,ambient_temperature_c,humidity_pct,shift,production_batch,rework_flag,anomaly_flag,root_cause_station
VEH-00001,Hyundai Venue,SX,S1,Body Preparation,2026-08-01T06:02:02,,,21.98,1.9768,,,,,,,11.0,16.82,71.97,Shift_3,BATCH-2026-W31-A,1,1,S1
VEH-00001,Hyundai Venue,SX,S2,Underbody Assembly,2026-08-01T06:03:52,78.51,142.72,,1.3747,,,1.2806,,,,15.19,16.98,,Shift_1,BATCH-2026-W31-A,1,1,S1
VEH-00001,Hyundai Venue,SX,S3,Suspension and Brake Assembly,2026-08-01T06:05:31,66.2,140.81,,,6.79,455.87,0.9084,,,,14.9,18.29,65.81,Shift_1,BATCH-2026-W31-A,0,1,S1
VEH-00001,Hyundai Venue,SX,S4,Powertrain Installation,2026-08-01T06:06:55,55.75,,23.66,,,461.46,0.2392,,,,13.02,18.95,69.11,Shift_1,BATCH-2026-W31-A,0,0,S1
VEH-00001,Hyundai Venue,SX,S5,Electrical Installation,2026-08-01T06:08:39,69.9,,24.25,,,,,12.62,14.97,,12.03,18.48,67.52,Shift_1,BATCH-2026-W31-A,0,1,S1
VEH-00001,Hyundai Venue,SX,S6,Interior Assembly,2026-08-01T06:10:12,62.87,,,,,475.66,0.33,,,,7.23,18.25,64.74,Shift_1,BATCH-2026-W31-A,0,0,S1
VEH-00001,Hyundai Venue,SX,S7,Door and Glass Assembly,2026-08-01T06:11:41,60.63,,,,,451.45,0.1857,,,,10.73,17.21,66.49,Shift_1,BATCH-2026-W31-A,0,0,S1
VEH-00001,Hyundai Venue,SX,S8,Wheel and Tyre Assembly,2026-08-01T06:13:17,60.58,138.93,,0.8787,6.22,,0.3085,,,,13.87,18.04,66.36,Shift_1,BATCH-2026-W31-A,0,0,S1
VEH-00001,Hyundai Venue,SX,S9,Fluid Filling,2026-08-01T06:14:47,62.24,,,,6.7,460.64,,,,,8.06,19.01,66.88,Shift_1,BATCH-2026-W31-A,0,0,S1
VEH-00001,Hyundai Venue,SX,S10,Final Inspection,2026-08-01T06:16:10,58.89,133.88,22.45,0.9606,,,0.2387,12.41,15.25,,11.72,19.43,67.22,Shift_1,BATCH-2026-W31-A,0,0,S1
VEH-00002,Hyundai Verna,SX_O,S1,Body Preparation,2026-08-01T06:02:14,62.06,,24.17,0.7997,,,,,,,12.19,18.0,68.18,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S2,Underbody Assembly,2026-08-01T06:03:39,58.98,,,0.8884,,,0.197,,,,11.66,18.23,68.22,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S3,Suspension and Brake Assembly,2026-08-01T06:05:14,,132.89,,,6.45,,0.1996,,,,11.18,,65.34,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S4,Powertrain Installation,2026-08-01T06:06:50,65.75,,21.27,0.9962,,420.22,,,15.42,,,18.41,69.76,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S5,Electrical Installation,2026-08-01T06:08:14,56.0,,22.49,,,,,12.69,16.76,,12.7,19.23,64.38,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S6,Interior Assembly,2026-08-01T06:09:43,,141.83,,,,500.85,,,,,9.88,18.85,67.12,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S7,Door and Glass Assembly,2026-08-01T06:11:11,54.78,,,,6.46,434.09,0.2723,,,,13.62,18.04,69.36,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S8,Wheel and Tyre Assembly,2026-08-01T06:12:36,59.43,119.73,,0.8605,6.49,,0.3042,,,,11.77,18.0,66.77,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S9,Fluid Filling,2026-08-01T06:14:09,63.09,,,,5.99,,,,,,8.71,18.16,,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00002,Hyundai Verna,SX_O,S10,Final Inspection,2026-08-01T06:15:35,54.92,136.15,,0.8882,,,,,,,,18.55,66.92,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00003,Hyundai Creta,SX_Tech,S1,Body Preparation,2026-08-01T06:03:04,57.22,,24.96,0.8237,,478.14,,,,,,19.23,66.14,Shift_1,BATCH-2026-W31-A,0,0,NONE
VEH-00003,Hyundai Creta,SX_Tech,S2,Underbody Assembly,2026-08-01T06:04:35,63.59,138.88,,0.8164,,453.27,0.2721,,,,11.49,,,Shift_1,BATCH-2026-W31-A,0,0,NONE
