dataset,target,model,cv_roc_auc,best_params,accuracy,precision,recall,f1,roc_auc,cv_macro_f1,macro_f1,weighted_f1
base,anomaly_flag,lightgbm,0.9999715788208622,"{'learning_rate': 0.08, 'n_estimators': 300, 'num_leaves': 15}",1.0,1.0,1.0,1.0,1.0,,,
base,anomaly_flag,lstm,0.9999983759326206,"{'batch': 64, 'dropout': 0.1, 'epochs': 8, 'hidden': 32, 'layers': 2, 'lr': 0.001}",0.9995,1.0,0.9933333333333333,0.9966555183946488,0.9999963963963964,,,
base,anomaly_flag,transformer,1.0,"{'batch': 64, 'dropout': 0.1, 'epochs': 8, 'hidden': 32, 'layers': 1, 'lr': 0.001}",1.0,1.0,1.0,1.0,1.0,,,
sparse,anomaly_flag,lightgbm,0.9876455029682019,"{'learning_rate': 0.03, 'n_estimators': 300, 'num_leaves': 31}",0.9925,1.0,0.9,0.9473684210526315,0.9949117117117118,,,
sparse,anomaly_flag,lstm,0.9902633116669763,"{'batch': 64, 'dropout': 0.1, 'epochs': 8, 'hidden': 64, 'layers': 2, 'lr': 0.001}",0.991,0.9024390243902439,0.9866666666666667,0.9426751592356688,0.9970774774774774,,,
sparse,anomaly_flag,transformer,0.9893714189103325,"{'batch': 64, 'dropout': 0.1, 'epochs': 8, 'hidden': 32, 'layers': 2, 'lr': 0.001}",0.997,0.9736842105263158,0.9866666666666667,0.9801324503311258,0.9991063063063063,,,
drift,anomaly_flag,lightgbm,0.9999496539112415,"{'learning_rate': 0.08, 'n_estimators': 300, 'num_leaves': 15}",1.0,1.0,1.0,1.0,1.0,,,
drift,anomaly_flag,lstm,1.0,"{'batch': 64, 'dropout': 0.1, 'epochs': 8, 'hidden': 32, 'layers': 2, 'lr': 0.001}",1.0,1.0,1.0,1.0,1.0,,,
drift,anomaly_flag,transformer,1.0,"{'batch': 64, 'dropout': 0.1, 'epochs': 8, 'hidden': 32, 'layers': 1, 'lr': 0.001}",1.0,1.0,1.0,1.0,1.0,,,
propagation,anomaly_flag,lightgbm,0.9999561407686975,"{'learning_rate': 0.08, 'n_estimators': 300, 'num_leaves': 31}",0.9985,1.0,0.98,0.98989898989899,1.0,,,
propagation,anomaly_flag,lstm,0.9999861928308452,"{'batch': 64, 'dropout': 0.1, 'epochs': 8, 'hidden': 64, 'layers': 1, 'lr': 0.001}",0.9995,1.0,0.9933333333333333,0.9966555183946488,1.0,,,
